coin_id,date,open,high,low,close,volume
litecoin,2025-04-19,75.9880599975586,76.6787338256836,75.0457763671875,76.12681579589844,252451132
litecoin,2025-04-20,76.12681579589844,78.34217071533203,75.48567199707031,77.74858856201172,261707695
litecoin,2025-04-21,77.74858856201172,81.49262237548828,77.48104095458984,78.04727935791016,410886865
litecoin,2025-04-22,78.047607421875,84.47547912597656,77.72876739501953,83.4083023071289,507393527
litecoin,2025-04-23,83.4083023071289,85.12458038330078,82.44451141357422,83.22515106201172,526977935
litecoin,2025-04-24,83.22531127929688,84.52508544921875,80.93468475341797,84.3316879272461,400748481
litecoin,2025-04-25,84.33182525634766,87.2347183227539,83.05924224853516,86.32804107666016,419900402
litecoin,2025-04-26,86.32893371582031,88.03485107421875,85.4305191040039,87.1067886352539,318675801
litecoin,2025-04-27,87.10697937011719,87.57086181640625,84.7317886352539,85.53465270996094,308737031
litecoin,2025-04-28,85.53252410888672,88.01630401611328,83.93118286132812,85.73147583007812,413999132
litecoin,2025-04-29,85.73121643066406,87.2408447265625,84.69388580322266,85.47164916992188,422993505
litecoin,2025-04-30,85.47161102294922,86.53041076660156,81.77094268798828,83.51346588134766,412774299
litecoin,2025-05-01,83.51522064208984,90.87566375732422,83.47244262695312,88.9256362915039,476506479
litecoin,2025-05-02,88.92963409423828,90.8663101196289,87.3414077758789,87.99943542480469,377793683
litecoin,2025-05-03,87.99922180175781,88.00183868408203,85.81533813476562,86.67216491699219,249936836
litecoin,2025-05-04,86.67156982421875,86.86620330810547,84.94183349609375,85.02394104003906,311019376
litecoin,2025-05-05,85.02395629882812,89.35408782958984,82.35894012451172,83.37004852294922,568505578
litecoin,2025-05-06,83.37004852294922,92.36015319824219,81.18242645263672,91.86149597167969,649598421
litecoin,2025-05-07,91.8696517944336,93.2015380859375,87.30937957763672,89.44876098632812,783041527
litecoin,2025-05-08,89.45059204101562,95.19078826904297,89.44945526123047,94.70175170898438,778491877
litecoin,2025-05-09,94.70118713378906,101.33683776855469,93.95565795898438,100.44050598144531,830455702
litecoin,2025-05-10,100.44161224365234,106.14918518066406,100.4412612915039,105.24385070800781,834309329
litecoin,2025-05-11,105.24359130859375,105.64225769042969,98.50720977783203,99.97394561767578,648329187
litecoin,2025-05-12,99.97413635253906,104.79100799560547,98.951904296875,103.92964935302734,876238985
litecoin,2025-05-13,103.92964935302734,104.89891815185547,99.7132797241211,103.55943298339844,756388508
litecoin,2025-05-14,103.55961608886719,105.06613159179688,98.7301254272461,101.12409210205078,685905055
litecoin,2025-05-15,101.12201690673828,101.82231903076172,95.88257598876953,99.14827728271484,655626582
litecoin,2025-05-16,99.15177154541016,102.1082763671875,98.40641784667969,99.47583770751953,484569633
litecoin,2025-05-17,99.47930908203125,101.07940673828125,95.76721954345703,96.2911376953125,503355643
litecoin,2025-05-18,96.28958129882812,102.23527526855469,96.13927459716797,101.17874145507812,529675531
litecoin,2025-05-19,101.13946533203125,101.13946533203125,94.53633117675781,98.34387969970703,559403328
litecoin,2025-05-20,98.34387969970703,99.53951263427734,92.53456115722656,94.39929962158203,704464955
litecoin,2025-05-21,94.39926147460938,98.28128814697266,93.71061706542969,97.26056671142578,652438243
litecoin,2025-05-22,97.26087951660156,100.8830795288086,97.13811492919922,100.28231811523438,689339568
litecoin,2025-05-23,100.28231811523438,102.82711029052734,94.84696197509766,95.1402816772461,683087073
litecoin,2025-05-24,95.1402816772461,97.76754760742188,95.02900695800781,95.6858901977539,362386410
litecoin,2025-05-25,95.6858901977539,96.03606414794922,93.31779479980469,95.6577377319336,373036618
litecoin,2025-05-26,95.6577377319336,97.57124328613281,94.50860595703125,95.00921630859375,359429190
litecoin,2025-05-27,95.00664520263672,96.98282623291016,93.24906921386719,95.96477508544922,461941241
litecoin,2025-05-28,95.9631576538086,97.42896270751953,93.59364318847656,95.30498504638672,409308570
litecoin,2025-05-29,95.30764770507812,98.57928466796875,93.06096649169922,93.08880615234375,523998753
litecoin,2025-05-30,93.08881378173828,93.8394775390625,85.53031158447266,85.6614990234375,676735944
litecoin,2025-05-31,85.66189575195312,87.88267517089844,83.3930892944336,87.12788391113281,420118292
litecoin,2025-06-01,87.12765502929688,88.7032699584961,86.11663818359375,88.38945770263672,302703072
litecoin,2025-06-02,88.38778686523438,89.939453125,87.06846618652344,89.64005279541016,367243058
litecoin,2025-06-03,89.64005279541016,90.56140899658203,88.85591125488281,89.56200408935547,347093463
litecoin,2025-06-04,89.5616455078125,90.9671401977539,87.59291076660156,88.08499145507812,330087158
litecoin,2025-06-05,88.08674621582031,89.08477783203125,82.18511962890625,83.7460708618164,442927658
litecoin,2025-06-06,83.74506378173828,87.68367004394531,83.58772277832031,87.25169372558594,380718079
litecoin,2025-06-07,87.25213623046875,89.31390380859375,86.7828369140625,88.37530517578125,288243852
litecoin,2025-06-08,88.37550354003906,88.58467102050781,86.7765884399414,87.25794219970703,297151017
litecoin,2025-06-09,87.2574234008789,90.7641372680664,86.82691192626953,90.76110076904297,419226063
litecoin,2025-06-10,90.76040649414062,93.39981842041016,89.61417388916016,93.2669906616211,438349979
litecoin,2025-06-11,93.26705169677734,94.00593566894531,90.5169448852539,91.57585144042969,474053032
litecoin,2025-06-12,91.57585144042969,91.7936782836914,86.16217803955078,86.45230865478516,394517665
litecoin,2025-06-13,86.45230865478516,86.605224609375,81.53981018066406,86.54266357421875,518619534
litecoin,2025-06-14,86.54266357421875,86.87774658203125,84.38018035888672,85.25419616699219,275701195
litecoin,2025-06-15,85.25411987304688,86.54517364501953,85.1011734008789,86.32762145996094,256887622
litecoin,2025-06-16,86.32762145996094,88.89298248291016,85.50926208496094,86.84630584716797,374880407
litecoin,2025-06-17,86.84689331054688,87.69681549072266,82.65823364257812,84.34707641601562,429229520
litecoin,2025-06-18,84.34740447998047,85.58200073242188,83.46928405761719,85.06647491455078,341881808
litecoin,2025-06-19,85.06597900390625,85.8410415649414,84.40480041503906,85.12791442871094,305809453
litecoin,2025-06-20,85.12806701660156,85.92496490478516,81.1500015258789,82.895751953125,383363426
litecoin,2025-06-21,82.895751953125,84.08651733398438,79.15865325927734,80.11610412597656,323966294
litecoin,2025-06-22,80.1189956665039,81.98597717285156,76.42152404785156,80.13804626464844,474474626
litecoin,2025-06-23,80.13922119140625,85.38858032226562,79.72673034667969,85.1222915649414,421570218
litecoin,2025-06-24,85.1218032836914,85.3385238647461,83.97821807861328,84.8034439086914,315638462
litecoin,2025-06-25,84.80503845214844,85.41447448730469,84.10187530517578,84.66546630859375,342324717
litecoin,2025-06-26,84.66546630859375,85.89220428466797,83.99732971191406,84.28509521484375,341637057
litecoin,2025-06-27,84.2850570678711,85.6033706665039,83.30979919433594,84.83246612548828,320633032
litecoin,2025-06-28,84.83258056640625,87.34298706054688,84.66112518310547,86.3045883178711,274366872
